#,Name,Current,Apr '25 Peak,All-Time Peak,Tags,,,,,
65,Garry's Mod,20469,32699,73863,,,,,,
66,Monster Hunter: World,20276,34551,334684,,,,,,
67,Yu-Gi-Oh! Master Duel,20188,41896,262689,,,,,,
68,HELLDIVERS™ 2,19900,49027,458709,,,,,,
69,Forza Horizon 5,19746,22884,81096,,,,,,
70,Age of Empires II: Definitive Edition,19461,29174,38725,,,,,,
71,Soundpad,19260,36712,40096,,,,,,
72,Kingdom Come: Deliverance II,19208,41565,256206,,,,,,
73,Slay the Spire,18980,23592,33086,,,,,,
74,THRONE AND LIBERTY,18648,40589,336300,,,,,,
75,Valheim,18539,47730,502387,,,,,,
76,Project Zomboid,18372,30174,65505,,,,,,
77,Factorio,18141,27284,118674,,,,,,
78,BeamNG.drive,18083,30649,30649,,,,,,
79,雀魂麻将(MahjongSoul),18009,30612,39075,,,,,,
80,Unturned,17654,27381,112703,,,,,,
81,Crusader Kings III,17542,27610,98872,,,,,,
82,Limbus Company,17391,36700,69372,,,,,,
83,Split Fiction,17379,72614,259003,,,,,,
84,Europa Universalis IV,17064,22636,48165,,,,,,
85,Destiny 2,17001,50252,316750,,,,,,
86,Legends of Idleon MMO,16817,19319,19319,,,,,,
87,OBS Studio,16804,26562,26562,,,,,,
88,Satisfactory,16774,34119,186158,,,,,,
89,ARK: Survival Ascended,16658,26498,98047,,,,,,
90,SCUM,16460,23194,68322,,,,,,
91,Black Desert,15836,19329,60395,,,,,,
92,FINAL FANTASY XIV Online,15140,31724,95150,,,,,,
93,PAYDAY 2,14879,25434,247709,,,,,,
94,Left 4 Dead 2,14819,36771,162399,,,,,,
95,Stellaris,14726,21677,68602,,,,,,
96,Dark and Darker,14482,21671,57164,,,,,,
97,MIR4,14297,15813,97173,,,,,,
98,Russian Fishing 4,14253,20738,24544,,,,,,
99,Age of Empires IV: Anniversary Edition,14104,24833,73928,,,,,,
100,STALCRAFT: X,13979,22501,40311,,,,,,
